seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
18,0.8,10.0,480,297,4,86,0.13043785778740768
18,0.8500000000000001,10.0,424,254,4,78,0.12209917780958324
18,0.9,10.0,352,205,4,66,0.11531906939821146
19,0.0,10.0,804,715,0,207,1.0
19,0.05,10.0,800,754,0,311,1.0
19,0.1,10.0,800,791,0,246,1.0
19,0.15000000000000002,10.0,792,763,0,226,1.0
19,0.2,10.0,784,726,0,207,1.0
19,0.25,10.0,776,688,0,172,1.0
19,0.30000000000000004,10.0,764,652,0,195,1.0
19,0.35000000000000003,10.0,752,617,0,170,1.0
19,0.4,10.0,736,582,0,148,1.0
19,0.45,10.0,716,548,0,160,1.0
19,0.5,10.0,696,514,0,141,1.0
19,0.55,10.0,672,480,0,127,1.0
19,0.6000000000000001,10.0,644,446,1,138,0.17897312173873792
19,0.65,10.0,608,410,1,130,0.15991099739030046
19,0.7000000000000001,10.0,572,374,1,105,0.1484029431833418
19,0.75,10.0,532,337,4,104,0.1380015648625108
19,0.8,10.0,484,298,4,95,0.13034601470914242
19,0.8500000000000001,10.0,424,254,4,82,0.12208656963842945
19,0.9,10.0,352,205,4,63,0.11531284431852673
20,0.0,10.0,800,715,0,209,1.0
20,0.05,10.0,800,754,0,302,1.0
20,0.1,10.0,796,790,0,279,1.0
20,0.15000000000000002,10.0,792,763,0,208,1.0
20,0.2,10.0,784,726,0,190,1.0
20,0.25,10.0,776,688,0,196,1.0
20,0.30000000000000004,10.0,764,652,0,204,1.0
20,0.35000000000000003,10.0,752,617,0,177,1.0
20,0.4,10.0,736,582,0,167,1.0
20,0.45,10.0,716,548,0,149,1.0
20,0.5,10.0,696,514,0,152,1.0
20,0.55,10.0,672,480,0,148,1.0
20,0.6000000000000001,10.0,644,445,1,141,0.17898034904935545
20,0.65,10.0,608,410,1,131,0.15991855724742765
20,0.7000000000000001,10.0,572,374,1,108,0.14841157160383034
20,0.75,10.0,532,337,4,97,0.13800265850552318
20,0.8,10.0,484,297,4,99,0.13034990014773717
20,0.8500000000000001,10.0,424,254,4,85,0.12209038134298633
20,0.9,10.0,352,205,4,69,0.11531492823584044
21,0.0,10.0,804,715,0,201,1.0
21,0.05,10.0,800,754,0,271,1.0
21,0.1,10.0,800,791,0,249,1.0
21,0.15000000000000002,10.0,792,763,0,227,1.0
21,0.2,10.0,784,726,0,199,1.0
21,0.25,10.0,776,688,0,197,1.0
